Script started on 2025-04-20 19:10:08+02:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="67" LINES="17"]
[?2004h]0;tan@ububa: ~/temp[01;32mtan@ububa[00m:[01;34m~/temp[00m$ ps -ef
[?2004lUID          PID    PPID  C STIME TTY          TIME CMD
root         211       2  0 16:15 ?        00:00:00 [kworker/3:2H-k
root         259       2  0 16:15 ?        00:00:00 [jbd2/sda2-8]
root         260       2  0 16:15 ?        00:00:00 [kworker/R-ext4
root         308       1  0 16:15 ?        00:00:00 /usr/lib/system
root         331       2  0 16:15 ?        00:00:01 [kworker/7:2-ev
root         363       1  0 16:15 ?        00:00:00 /usr/lib/system
root         413       2  0 16:15 ?        00:00:00 [psimon]
systemd+     530       1  0 16:15 ?        00:00:03 /usr/lib/system
systemd+     548       1  0 16:15 ?        00:00:00 /usr/lib/system
root         596       2  0 16:15 ?        00:00:00 [kworker/R-cryp
root         599       2  0 16:15 ?        00:00:00 [kworker/R-iprt
root         610       2  0 16:15 ?        00:00:00 [irq/18-vmwgfx]
root         611       2  0 16:15 ?        00:00:00 [kworker/R-ttm]
systemd+     858       1  0 16:15 ?        00:00:00 /usr/lib/system
avahi        895       1  0 16:15 ?        00:00:00 avahi-daemon: r
message+     896       1  0 16:15 ?        00:00:05 @dbus-daemon --
gnome-r+     899       1  0 16:15 ?        00:00:00 /usr/libexec/gn
polkitd      905       1  0 16:15 ?        00:00:01 /usr/lib/polkit
root         908       1  0 16:15 ?        00:00:00 /usr/libexec/po
root         916       1  0 16:15 ?        00:00:04 /usr/lib/snapd/
root         920       1  0 16:15 ?        00:00:00 /usr/libexec/ac
root         921       1  0 16:15 ?        00:00:00 /usr/sbin/cron 
root         922       1  0 16:15 ?        00:00:00 /usr/libexec/sw
root         924       1  0 16:15 ?        00:00:01 /usr/lib/system
root         925       1  0 16:15 ?        00:00:00 /usr/libexec/ud
avahi        929     895  0 16:15 ?        00:00:00 avahi-daemon: c
root         963       1  0 16:15 ?        00:00:00 /usr/sbin/Netwo
root         964       1  0 16:15 ?        00:00:00 /usr/sbin/wpa_s
syslog       968       1  0 16:15 ?        00:00:00 /usr/sbin/rsysl
root        1016       1  0 16:15 ?        00:00:00 /usr/sbin/Modem
root        1266       1  0 16:15 ?        00:00:08 /usr/bin/VBoxDR
root        1268       1  0 16:15 ?        00:00:02 /usr/sbin/VBoxS
root        1363       1  0 16:15 ?        00:00:00 /usr/sbin/cupsd
root        1366       1  0 16:15 ?        00:00:00 /usr/bin/python
lp          1379    1363  0 16:15 ?        00:00:00 /usr/lib/cups/n
root        1381       1  0 16:15 ?        00:00:00 /usr/sbin/gdm3
cups-br+    1396       1  0 16:15 ?        00:00:00 /usr/sbin/cups-
kernoops    1400       1  0 16:15 ?        00:00:00 /usr/sbin/kerne
kernoops    1404       1  0 16:15 ?        00:00:00 /usr/sbin/kerne
rtkit       1455       1  0 16:15 ?        00:00:00 /usr/libexec/rt
colord      1560       1  0 16:15 ?        00:00:00 /usr/libexec/co
root        1615       1  0 16:15 ?        00:00:02 /usr/libexec/up
root        1957    1381  0 16:15 ?        00:00:00 gdm-session-wor
tan         1973       1  0 16:15 ?        00:00:01 /usr/lib/system
tan         1979    1973  0 16:15 ?        00:00:00 (sd-pam)
tan         1990    1973  0 16:15 ?        00:00:05 /usr/bin/pipewi
tan         1991    1973  0 16:15 ?        00:00:00 /usr/bin/pipewi
tan         1994    1973  0 16:15 ?        00:00:04 /usr/bin/wirepl
tan         1996    1973  0 16:15 ?        00:00:03 /usr/bin/pipewi
tan         1998    1973  0 16:15 ?        00:00:00 /usr/bin/gnome-
tan         2008    1973  0 16:15 ?        00:00:02 /usr/bin/dbus-d
tan         2031    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2045    1973  0 16:15 ?        00:00:00 /usr/libexec/xd
tan         2060    1957  0 16:15 tty2     00:00:00 /usr/libexec/gd
root        2065    2031  0 16:15 ?        00:00:00 fusermount3 -o 
tan         2072    2060  0 16:15 tty2     00:00:00 /usr/libexec/gn
tan         2145    1973  0 16:15 ?        00:00:00 /usr/libexec/gc
tan         2151    1973  0 16:15 ?        00:00:00 /usr/libexec/gn
tan         2169    1973  0 16:15 ?        00:00:00 /usr/libexec/gv
